Palavra,Frequencia
cara,88
caracteristica,2
caracteristicas,5
caracteristico,1
caramelos,1
caranguejo,4
carapuca,1
caras,3
carater,3
caravana,7
caravanas,1
card,33
cardapio,1
cardeal,1
cardiologia,1
cardiologista,2
cardoso,4
cards,3
careca,1
carece,2
carente,1
carentes,2
carga,8
cargo,16
cargos,12
carine,3
carinho,411
carinhos,1
carinhosa,1
carinhoso,2
carisma,4
carla,1
carlito,3
carlos,75
carmelo,1
carmo,7
carmopolis,2
carnatal,1
carnaval,13
carne,1
carneiro,12
caro,6
carol,3
carona,1
caros,1
carpejanne,1
carrapata,1
carreara,1
carreata,368
carreatas,17
carreatona,1
carrega,7
carregada,1
carregadas,1
carregado,1
carregam,4
carregamos,3
carregando,1
carregar,2
carrego,4
carregou,1
carreira,11
carreiras,3
carreta,5
carretada,1
carretas,1
carretava,1
carrinho,1
carro,65
carrocas,1
carros,10
carrossel,69
carta,19
cartacompromisso,12
cartao,27
cartaopostal,2
cartaprojeto,1
cartas,1
cartascompromisso,2
cartascompromissos,1
cartaz,2
carteira,2
carteirinha,1
cartelas,1
cartilha,1
cartinha,3
cartoes,1
cartoespostais,1
caru,1
caruru,1
carvalho,11
casa,129
casada,1
casado,8
casal,1
casamento,2
casarao,1
casaroes,5
casas,33
casca,2
caso,30
casos,2
casquinha,1
cassacao,1
cassio,2
cast,1
castanhos,1
castelao,5
castelo,23
castra,2
castracao,5
castramoveis,1
castramovel,2
catadores,2
catamara,2
catarata,5
catedral,3
categoria,17
categorias,12
cati,3
catolica,4
catolico,2
catolicos,3
caucaia,2
causa,37
causadas,1
causado,1
causados,2
causam,1
causando,1
causar,1
causas,12
causou,2
cavalaria,3
cavalcante,5
cavalinhos,1
cavilosas,1
cavouco,1
caxias,1
cbn,1
cc,2
ccab,1
cco,3
cdi,2
cdl,2
ce,37
ceara,43
ceasa,6
cecilia,1
cedeu,1
cedinho,5
cedo,30
cegar,1
cegos,2
ceifar,1
ceifou,1
cel,2
cela,2
celebra,4
celebracao,13
celebracoes,3
celebrado,3
celebramos,17
celebrando,12
celebrar,39
celebrarmos,2
celebrei,1
celebremos,2
celebro,2
celeridade,2
celia,2
celio,1
celso,2
celular,17
celularcamera,1
celulares,10
cem,3
cemadec,1
cemapi,1
cemar,1
cemiterios,3
cena,5
cenario,14
cenarios,5
cenas,23
cenica,1
censura,2
centavo,1
centenarias,1
centenario,11
centenas,22
center,1
cento,2
centrais,1
central,64
centrao,2
centro,238
centros,12
centrosdia,2
cer,1
ceramico,5
cerca,7
cercada,2
cercado,3
cercados,1
cerceamento,2
cereja,1
cerimonia,2
certa,61
certamente,9
certas,5
certeira,1
certeza,138
certidao,1
certidoes,1
certificacao,1
certificacoes,1
certificado,1
certin,3
certinha,1
certinho,3
certo,333
certopodem,1
certos,3
cesar,1
cestas,1
ceu,7
cfjestes,1
cha,4
chaaaaaaaaaaaaaama,1
chaaaaaaaama,3
chaaaaaaama,1
chaaaaaama,4
chaaaaama,12
chaaaama,10
chacon,2
chafariz,1
chama,57
chamaaaa,1
chamaaaaa,3
chamada,5
chamado,4
chamam,1
chamando,8
chamar,13
chame,14
chamem,2
chamento,1
chance,56
chancela,1
chances,8
chao,33
chapa,44
chapadaesperanca,3
chapas,1
chapeu,1
charlatao,1
charme,2
charmosa,2
charque,2
chateada,1
chateaubriand,1
chatgpt,1
chave,17
chaveiros,1
chaves,2
checklist,1
chefe,3
chefes,3
chefiar,1
chega,79
chegaaaa,1
chegada,22
chegado,2
chegam,4
chegamos,26
cheganca,1
chegando,168
chegandooo,1
chegar,58
chegara,1
chegaram,9
chegarem,1
chegaremos,3
chegarmos,6
chego,4
chegou,253
chegue,11
cheguei,3
cheguem,5
cheia,126
cheias,6
cheio,76
cheios,10
cheiro,4
cheiroso,2
chiclete,1
chico,8
chile,2
chines,1
chique,1
chocada,1
chocantes,1
chocaram,1
choque,3
chora,2
chorar,1
choras,2
chove,1
chovia,1
churrasco,2
churrasqueira,1
chutes,1
chuva,10
chuvas,3
cia,1
ciadi,3
cicerete,1
ciceroca,6
ciclismo,2
ciclista,1
ciclistas,10
ciclo,10
ciclofaixa,3
ciclofaixas,3
ciclomorte,1
ciclovia,9
cicloviario,3
ciclovias,17
cico,10
cid,10
cida,5
cidada,4
cidadania,51
cidadaniapmbrepublicanospldcprdnovopp,220
cidadaniapmbrepublicanospldcprosnovopp,1
cidadaniapsdbcidadania,1
cidadao,49
cidadaos,29
cidadas,1
cidade,2216
cidadee,1
cidadeirma,1
cidades,37
ciencia,11
ciencias,2
ciente,3
cientes,4
cientista,1
cigano,1
cima,79
cimento,1
cinco,8
cinema,1
cineteatro,2
cinto,1
cinza,13
ciptea,2
cirandas,1
circo,1
circuito,2
circula,3
circulacao,3
circulam,3
circulando,8
circular,9
circulem,2
circulo,2
circunstancia,1
circunstancias,1
cirurgia,9
cirurgias,15
cirurgica,1
cirurgico,1
cisco,1
cita,1
citado,1
citando,1
citei,1
cities,1
cits,2
city,1
ciumes,1
civica,6
civicanao,1
civico,9
civil,14
civilizada,1
civis,1
cj,2
clama,3
clamam,1
clamor,4
clara,20
claramente,3
claras,10
clareza,2
clarinho,1
claro,85
claronet,1
claros,3
clars,1
classe,11
classes,2
classica,1
classificou,1
claudenete,1
claudine,1
claudio,2
cleia,2
cleimar,3
clemente,2
clica,2
clicar,7
clickpb,4
clientela,1
clientelista,1
clientes,4
clilson,1
clima,18
climatica,5
climaticas,3
climaticos,2
climatizacao,1
climatizadas,1
clinica,5
clinicas,12
clipe,6
clique,4
cliques,3
cloracao,1
cloroquina,4
closando,1
clp,2
clube,13
clubes,1
cm,6
cma,1
cmam,1
cn,1
cnlhs,1
cnn,6
cnpj,529
co,1
coacao,1
coagidas,1
coagir,2
coalisao,1
coati,2
coberta,7
cobertas,1
cobertura,16
cobrador,1
cobranca,1
cobrancas,1
cobrando,1
cobrar,6
cobre,1
cobrindo,1
cobrou,2
coca,2
cocacola,1
cocando,1
cochise,1
coco,3
code,2
codesal,1
codigo,1
codipi,19
coelho,1
coelhos,1
coerencia,7
coerente,2
coesi,1
cofres,2
cohab,8
cohapam,1
cohatrac,3
coincidencia,3
coincidencias,1
coincidentemente,1
coisa,69
coisas,23
cola,35
colaboracao,5
colaborado,1
colaboradores,3
colaboram,1
colaborar,2
colada,6
coladinha,1
coladinhos,1
colado,9
colados,8
colam,1
colando,2
colapso,2
colar,8
cole,15
colecao,1
colecionar,2
colecionaveis,2
colega,3
colegas,4
colegio,9
coleira,1
coleta,9
colete,1
coletiva,15
coletivamente,2
coletivo,14
coletora,2
colhe,1
colhendo,2
colher,2
colhidos,2
colibris,3
coligacao,1100
colina,16
colinas,3
colinha,2
collor,1
colo,4
coloca,17
colocacao,1
colocada,7
colocadas,1
colocado,1
colocados,8
colocalas,1
colocam,3
colocamos,16
colocando,7
colocar,49
colocara,1
colocaram,1
colocaremos,1
colocava,1
coloco,3
colocou,15
colonia,1
colonias,1
colonoscopia,2
coloque,7
coloquei,1
coloquem,4
colora,1
colorado,1
colorido,1
colorir,1
colorista,1
coloriu,2
colou,3
comandada,4
comandadas,1
comandados,1
comandar,1
comandara,2
comando,10
comandou,2
combao,5
combata,1
combatam,2
combate,44
combatem,1
combatendo,6
combater,21
combatermos,1
combatida,2
combina,1
combinado,2
combinando,1
combinaram,1
combo,2
combustiveis,2
combustivel,10
comeca,58
comecado,1
comecam,4
comecamos,60
comecando,39
comecar,50
comecarmos,1
comecava,1
comecei,11
comecem,1
comecinho,3
comeco,13
comecou,65
comemora,1
comemoracao,4
comemoracoes,2
comemorado,2
comemoram,1
comemoramos,9
comemorando,5
comemorar,24
comemorarmos,1
comenda,4
comendo,3
comenta,17
comentando,3
comentar,3
comentario,5
comentarios,46
comentarista,6
comente,10
comentem,2
comer,10
comerciais,9
comercial,12
comerciante,8
comerciantes,43
comerciarias,1
comerciarios,3
comercio,33
comercios,6
cometa,1
comete,2
cometeu,1
comeu,1
comicio,31
comico,1
comida,9
comidinha,1
comigo,119
comigotem,1
comilao,1
comissao,7
comite,98
comites,5
comitiva,2
comntaros,1
comodidade,3
compactuem,1
compaixao,1
companheir,1
companheira,11
companheirada,1
companheiras,2
companheirismo,1
companheiro,15
companheiros,9
companhia,4
companhias,2
compara,2
comparacao,5
comparam,1
comparando,1
comparar,17
comparativo,1
compare,3
compareca,3
comparece,1
comparecer,2
compareceu,10
comparem,1
compartilha,26
compartilhadas,1
compartilhado,2
compartilhados,1
compartilham,3
compartilhamento,1
compartilhamos,6
compartilhando,9
compartilhar,31
compartilharam,1
compartilharem,1
compartilharemos,1
compartilhe,67
compartilhei,1
compartilhem,6
compartilho,2
compartilhou,2
compatibilidades,1
compaz,14
compec,1
compensa,1
compensar,1
compete,1
competencia,23
competente,14
competentes,2
competicao,1
competicoes,2
competir,1
competitiva,3
competitivas,1
competitividade,5
competitivo,1
compila,1
compiladao,2
compilado,12
complementado,1
complementam,1
complementar,1
complemento,1
completa,22
completamente,12
completamos,1
completando,3
completar,2
completo,52
completos,3
completou,1
complexidade,2
complexo,16
complexos,1
complicado,4
complicou,1
comportamento,1
composicao,1
composta,2
composto,1
compra,24
compradas,1
comprar,5
compras,1
compravenda,1
compreendam,1
compreendem,2
compreendendo,2
compreendida,1
compreensao,2
compreensivel,1
comprometa,1
compromete,8
comprometemos,7
comprometendo,2
comprometer,2
comprometermos,1
comprometeu,2
comprometi,1
comprometida,19
comprometidas,3
comprometido,27
comprometidos,29
comprometimento,17
comprometo,1
compromissada,1
compromisso,604
compromissos,50
comprou,1
comprova,9
comprovada,1
comprovadamente,1
comprovadas,2
comprovado,4
comprovados,4
comprovam,4
comprovamos,3
comprovando,2
comprovar,2
comprovou,2
compus,1
computador,3
computadores,1
comum,10
comunga,1
comungam,1
comungando,1
comungar,1
comunhao,4
comunicacao,34
comunicador,3
comunicadores,3
comunicamos,1
comunicar,1
comunidade,86
comunidades,39
comunismo,1
comunista,1
comunitaria,2
comunitarias,9
comunitario,2
comunitarios,9
concebido,1
concebo,1
concedendo,20
conceder,1
concedeu,1
concedida,5
conceicao,24
conceito,3
conceitos,1
concentracao,88
concentrada,1
concentrados,1
concentrar,2
concentrara,1
concepcao,2
conchavo,1
conchavos,1
conciliar,1
conclua,1
conclui,1
concluida,7
concluidas,7
concluido,4
concluimos,5
concluindo,1
concluir,7
concluirem,6
conclusao,4
conclusoes,2
concorda,10
concordam,2
concordamos,2
concordo,1
concorre,1
concorrem,1
concorrencia,1
concorrendo,3
concorrentes,1
concorrer,2
concretas,29
concretizacao,1
concretizada,2
concretizar,3
concreto,6
concretos,6
concursado,2
concursados,1
concurso,26
concursos,16
condecoralo,1
condena,1
condenacao,1
condenacoes,1
condenada,1
condenado,7
condicao,6
condicionado,3
condicoes,47
condolencias,1
condominio,3
conduta,2
condutas,2
condutores,1
conduz,1
conduzido,2
conduzindo,1
conduzir,5
conduziu,2
conecta,5
conectada,7
conectado,3
conectados,2
conectam,1
conectando,3
conectar,8
conectara,1
conectem,1
conexao,9
conexoes,2
confere,22
conferida,1
conferindo,2
conferir,32
conferiu,1
confesso,1
confia,13
confiabilidade,16
confiam,10
confianca,218
confiando,3
confiante,9
confiantes,8
confiar,72
confiaram,1
confiarem,3
confiavel,1
confie,3
confiem,3
confio,6
confiou,2
confira,96
confiram,3
confirma,72
confirmacao,5
confirmada,3
confirmados,1
confirmam,6
confirmamos,1
confirmando,10
confirmar,51
confirmarmos,1
confirme,7
confirmei,3
confirmou,6
confiro,1
conflito,2
conflitos,1
conforme,8
confortalos,2
confortar,3
confortaveis,7
confortavel,1
conforte,6
conforto,35
confraternizacao,1
confraternizacoes,1
confrontam,1
confronto,2
confunde,3
confundir,5
confusos,1
congelamento,5
congelou,2
congestiona,1
congestionamentos,1
congregacao,1
congresso,7
congressos,1
conheca,33
conhecam,2
conhece,82
conhecem,19
conhecemos,7
conhecendo,5
conhecer,41
conhecereis,2
conhecerem,5
conheceu,1
conheci,5
conhecia,1
conhecida,4
conhecidas,1
conhecido,4
conhecimento,26
conheco,8
conivencia,1
coniventes,1
conjpalmeiras,1
conjunta,2
conjunto,93
conjuntos,1
conjuntura,1
connect,1
conosco,34
conquista,30
conquistadas,1
conquistado,1
conquistados,5
conquistamos,8
conquistando,7
conquistar,19
conquistas,33
conquiste,1
conquistei,2
conquisto,1
conquistou,9
conrado,32
consagracao,1
consagrada,1
consagrados,1
consagrar,1
consciencia,25
consciente,18
conscientizacao,5
conscientizam,1
conscientizar,3
consecutivo,3
consegue,14
conseguem,4
consegui,4
conseguimos,12
conseguindo,2
conseguir,21
conseguiram,2
conseguiremos,3
conseguiu,12
conselheiro,1
conselhinho,2
conselho,8
conselhos,7
consequencia,3
consequencias,11
consertar,2
conservacao,1
conservador,2
conservadora,1
conservadores,3
considera,1
consideracao,5
consideracoes,1
considerada,3
consideradas,1
considerados,1
considerando,2
consiga,2
consigamos,1
consigo,9
consistencia,1
consistente,2
consolada,1
consolida,2
consolidacao,1
consolidada,1
consolidado,1
consolidando,4
consolidar,9
consolidarmos,1
consolidem,1
consolidou,1
consome,1
consorcio,2
consta,2
constam,3
constante,10
constantemente,1
constantes,1
constata,1
constatacao,1
constatou,1
constava,1
constitucionais,1
constitucional,1
constituicao,1
constranger,2
constroem,5
constroi,14
construa,2
construcao,89
construcoes,1
construi,6
construida,14
construidas,13
construido,19
construidos,1
construimos,23
construindo,91
construindojuntos,3
construir,392
construiram,1
construirem,1
construiremos,8
construirmos,15
construiu,10
construtivo,2
consulado,1
consult,2
consulta,4
consultar,2
consultas,50
consulte,2
consultoria,1
consulttn,3
consulttribuna,1
consumidor,2
consumidores,5
consumindo,1
consumo,2
conta,141
contabil,1
contada,1
contado,2
contadora,1
contados,3
contagem,24
contagiadas,1
contagiado,1
contagiando,3
contagiante,31
contagiaram,1
contagiou,4
contam,3
contaminacao,1
contaminar,1
contaminem,1
contamos,52
contando,12
contar,66
contara,10
contarei,1
contaremos,1
contas,11
contato,8
contava,2
conte,9
contei,1
contem,48
contempla,2
contemplacao,4
contemplados,4
contemplem,1
contencao,3
contendo,14
conter,6
conterraneos,1
conteudo,13
conteudos,3
contextualizar,1
contidas,2
contingentes,1
continua,47
continuada,1
continuam,6
continuamos,3
continuando,1
continuar,326
continuara,8
continuarao,1
continuarei,4
continuaremos,9
continuarmos,7
continuas,1
continue,39
continuem,7
continuemos,1
continuidade,31
continuo,2
conto,124
contorno,2
contou,10
contra,168
contracapa,1
contracheques,3
contramao,2
contraponto,1
contrariando,1
contrario,19
contratacao,6
contratada,40
contratadas,2
contratado,2
contratados,3
contratando,1
contratar,1
contratos,4
contratou,1
contreras,1
contribuem,3
contribui,4
contribuicao,1
contribuicoes,6
contribuido,1
contribuindo,4
contribuinte,1
contribuintes,1
contribuir,13
contribuiram,3
contribuiu,3
controlam,1
controle,13
contruido,1
convencao,3
convencer,1
convencoes,7
conveniencia,1
convenio,1
convenios,1
conventinho,3
convento,1
convergem,1
conversa,62
conversaaaaa,1
conversado,1
conversamos,30
conversando,54
conversar,66
conversaram,1
conversarmos,1
conversas,15
conversava,1
converse,2
conversei,6
converso,1
conversou,1
conviccao,6
convictos,1
convida,3
convidadas,1
convidado,7
convidados,1
convidamos,10
convidando,4
convidar,5
convide,1
convidei,1
convido,13
convite,40
convivencia,29
convivendo,1
conviver,2
convivido,1
convivio,3
convoca,2
convocacao,1
convocada,1
convocado,1
convocados,1
convocamos,1
convocando,1
convocar,1
convocou,2
convoque,1
convoquei,1
cooler,1
cooonfirma,1
cooper,4
cooperacao,1
cooperam,1
cooperativa,1
cooperativas,2
cooptada,1
coordenacao,8
coordenada,1
coordenado,1
coordenador,3
coordenadora,2
coordenando,1
cop,6
copadroeiro,1
copie,1
copo,1
coque,3
coqueiral,9
coqueiro,1
coqueiros,4
cor,12
coracao,263
coracoes,29
coragem,110
corajosa,3
corajosas,1
corda,1
cordeiro,3
cordeirocasa,1
cordeiros,1
cordel,2
coreografia,11
coreografiaclipe,1
coreografias,1
cores,6
coroa,14
coroadinho,5
coroado,4
coroar,1
coronel,5
coronelismo,1
corpo,14
corporacoes,1
corre,22
corredor,6
corredores,8
corrego,1
correia,1
correio,6
correiorecord,1
correios,1
correndo,4
corrente,14
correr,7
correria,5
correrias,1
corresponde,1
correspondente,1
correta,4
corretamente,1
correto,3
correu,1
corri,1
corrida,22
corridas,1
corridinha,2
corrido,1
corridos,1
corrigir,1
corro,1
corrupcao,36
corrupto,1
cortadas,6
cortam,1
cortando,1
cortar,2
corte,12
cortejo,1
cortou,12
coruja,4
corujao,2
corujoes,1
cosme,4
costa,9
costas,4
costeira,1
costuma,2
costume,3
costumes,1
cotas,2
cotidianas,1
cotidiano,2
coutinho,4
couto,3
coutos,4
covarde,3
covardemente,1
covardes,2
covardia,5
covas,1
covaxin,1
covid,9
coxinha,1
cozidos,1
cozinha,2
cozinhado,1
cozinhas,2
cpf,4
cpi,13
cracha,1
craque,8
cras,2
cratera,1
creas,2
creche,46
creches,110
credaju,1
credenciadas,1
credenciamento,1
credenciar,1
credibilidade,8
credipi,1
creditar,1
credito,12
creditos,2
credpop,3
credsalvador,1
creia,1
creio,1
crenca,1
crer,2
cresca,3
cresce,57
crescem,1
crescemos,4
crescendo,22
crescente,2
crescer,52
cresceram,1
cresceu,10
cresci,3
crescido,1
crescimento,39
cria,9
criacao,55
criacoes,1
criada,11
criadas,5
criado,9
criador,1
criados,3
criam,1
criamos,15
crianca,47
criancada,5
criancas,203
criancinha,1
criando,18
criar,126
criara,1
criaremos,5
criativa,6
criativas,1
criatividade,7
crie,1
criei,8
criem,1
crime,47
crimes,11
criminais,1
criminal,1
criminalidade,7
criminosa,11
criminosas,15
criminoso,2
criminosos,9
criou,12
crise,8
crises,1
crista,4
cristalina,3
cristao,6
cristaos,2
cristas,2
cristiane,9
cristo,13
cristovao,11
critica,3
criticas,7
critico,2
criticos,1
crivo,1
cronico,1
cronicos,1
cronograma,1
cronometro,1
cross,1
cruciais,1
crucial,7
cruel,1
crueldade,2
crush,1
cruz,11
cruza,2
cruzada,1
cruzamento,1
cruzamos,1
cruzando,1
cruzar,2
cruzeiros,1
csi,2
cubra,2
cucas,5
cuecaalgumas,1
cuia,1
cuida,91
cuidaaaaaa,1
cuidada,36
cuidadas,2
cuidado,148
cuidador,2
cuidadora,1
cuidadoras,1
cuidadores,7
cuidados,18
cuidadosa,1
cuidadosamente,1
cuidadoso,4
cuidadotodos,1
cuidam,8
cuidamos,3
cuidando,44
cuidar,380
cuidara,3
cuidarao,1
cuidaremos,5
cuidarmos,3
cuide,18
cuidei,4
cuidem,3
cuidemse,1
cuidou,8
cuja,2
cujo,1
culatra,1
culinaria,3
culminou,1
culpa,7
culpados,1
cultivar,1
cultivavamos,1
culto,1
cultura,177
culturais,32
cultural,38
culturas,1
cum,1
cumplice,1
cumpre,7
cumprem,2
cumpri,2
cumprida,1
cumpridas,5
cumprido,4
cumpridos,1
cumprimentando,4
cumprimentar,1
cumprimento,4
cumprindo,5
cumprir,15
cumpriu,4
cunha,8
cunhas,1
cunho,1
cura,4
curado,1
curio,6
curiosidades,2
curriculo,1
cursar,1
cursinho,6
curso,6
cursos,17
curta,4
curte,2
curtia,1
curtindo,4
curtinha,1
curtir,11
curtiram,1
curtiu,4
curto,3
curtos,2
curtume,1
curva,1
curvou,1
cuscuz,2
cuscuzinho,1
custa,1
custando,1
custas,1
custear,1
custo,7
custos,3
cuuuuuida,1
cyro,1
d,12
daareinha,1
dacidade,1
dada,6
dadas,43
dadiva,2
dado,17
dados,18
dagua,3
dai,2
dali,1
dallagnol,1
dalu,1
dama,3
damares,1
damasceno,1
damiao,5
damos,7
danada,4
danado,1
danca,12
dancando,6
dancar,3
dancarino,1
dancas,1
dancing,2
dancinha,7
danco,1
dancou,1
dando,63
danese,2
dangola,1
dani,1
daniel,8
danieze,1
danificadas,1
danilim,2
danilo,2
danos,5
dantas,32
dao,14
daquela,2
daquelas,4
daquele,9
daqueles,8
daqui,47
daquilo,3
dar,478
dara,7
darc,2
darci,1
darcy,2
daremos,5
daria,1
darmos,5
data,57
datafolha,22
datafolhaopovo,1
datamax,1
datapovo,1
datas,3
datavero,1
dataverofm,1
david,7
dayane,1
days,2
dc,139
debaixo,1
debate,229
debatemos,2
debatendo,2
debater,24
debates,19
debatesassim,1
debatidas,1
deboche,2
debochou,1
debrucou,1
decadas,27
decadencia,1
decepcao,3
decepciona,2
decepcionam,1
decepcionarao,1
decida,1
decidam,1
decide,4
decidem,1
decidi,2
decidia,1
decidida,3
decididas,2
decidido,4
decididos,1
decidir,29
decidiram,3
decidirmos,3
decidiu,29
decio,1
decisao,26
decisiva,5
decisivas,1
decisivo,16
decisoes,11
declaracao,5
declaramos,1
declarando,8
declarar,5
declararam,1
declaro,2
declarou,2
decolamos,1
decolando,5
decolar,2
decolou,5
decoracao,1
decorada,1
decorar,3
decorativo,1
decorem,2
decorou,3
decorrem,1
decorrentes,1
decorrer,2
decretado,1
decretando,3
decreto,1
dedica,5
dedicacao,85
dedicada,8
dedicadas,1
dedicado,18
dedicados,8
dedicam,5
dedicamos,1
dedicando,3
dedicandose,1
dedicar,9
dedicara,1
dedicarse,1
dedicatoria,1
dedico,2
dedicou,6
dediquei,3
dedo,2
dedos,2
deem,1
defasada,1
defasagem,1
defeito,2
defenda,1
defende,16
defendelas,1
defendelo,1
defendem,3
defendemos,1
defendendo,8
defender,22
defenderei,1
defenderme,1
defendeu,5
defendi,1
defendido,1
defendo,7
defensor,7
defensora,4
defensores,1
defesa,35
defesada,1
deficiencia,56
deficiencias,4
deficiente,1
deficientes,1
deficitarias,1
defina,1
define,5
definicao,1
definicoes,1
definida,2
definidas,1
definidos,2
definir,10
definira,2
definirem,1
definitiva,3
definitivos,1
definiu,2
deflagra,1
deflagrou,1
degradada,1
degrau,1
dei,6
deisy,1
deitar,1
deixa,47
deixada,1
deixado,6
deixados,3
deixala,1
deixalos,2
deixam,1
deixamos,3
deixando,13
deixar,97
deixara,2
deixaram,4
deixarao,1
deixarem,2
deixaremos,3
deixava,1
deixe,33
deixei,1
deixem,5
deixo,12
deixou,28
delegacias,1
delegado,3
delgado,1
delicia,4
delicias,1
deliciosos,1
delivery,3
deltan,1
demagogia,2
demagogicas,1
demais,107
demaisnossa,1
demanda,8
demandas,34
demerval,3
demissao,1
demissoes,1
demitir,1
democracia,79
democrata,2
democratica,8
democraticamente,1
democraticas,2
democratico,11
democraticos,1
democratizacao,1
demolicao,2
demonstra,12
demonstracao,14
demonstracoes,12
demonstrado,1
demonstrados,1
demonstram,9
demonstrando,3
demonstrar,8
demonstrara,1
demonstraram,2
demonstrei,1
demonstrou,4
demora,2
demoram,1
demos,11
demostrada,1
demostrado,1
dende,2
dentre,3
dentro,47
denuncia,10
denunciada,1
denunciado,3
denunciam,1
denunciamos,1
denunciando,1
denunciar,3
denunciaram,1
denuncias,11
denuncie,7
denunciei,3
denunciem,1
deodoro,1
deolindo,2
deotap,2
dep,1
deparamos,3
deparei,1
depende,21
dependem,6
dependencia,1
depender,2
dependia,1
dependiam,1
depoimento,10
depoimentos,6
deposita,2
depositada,2
depositados,1
depositam,2
depositar,2
deposito,1
deposta,1
depressao,1
deprimente,2
deputada,27
deputado,63
deputados,11
dera,1
deram,8
derreter,1
derretimento,1
derrota,1
derrotada,1
derrotar,7
derrotarmos,1
derrotas,1
derruba,1
derrubar,8
derrubaram,1
derrube,1
des,1
desabafar,2
desabamento,1
desabou,1
desabrigadas,1
desacelerar,1
desacreditada,1
desacreditados,1
desacreditar,3
desacreditou,1
desafetacao,1
desafiadoras,1
desafiadores,1
desafie,1
desafio,28
desafios,73
desafogando,2
desafogar,8
desaforo,1
desagradavel,1
desamparadas,1
desanima,1
desanime,1
desaparecidos,2
desaparecimentos,1
desapropriar,1
desaprovacao,1
desaprovado,1
desarmamento,1
desassistida,1
desassistido,1
desassoreamento,1
desastre,1
desastres,2
desastrosa,3
desatam,1
desativadas,2
desbaratando,1
desburocratizando,1
desburocratizar,2
descansa,2
descansada,1
descansar,10
descanse,4
descanso,7
descarada,1
descarta,1
descartado,2
descarte,1
descaso,57
descasos,1
desce,2
descemos,1
descendo,1
descentralizada,1
descentralizadas,1
descentralizar,3
descer,8
desceram,1
desceu,8
desci,2
descoberta,6
descobertas,1
descobri,1
descobrir,2
descobriram,1
descobriu,1
descompensadopalido,1
desconforto,1
desconhecido,1
desconheco,1
descontinuadas,2
descontraido,1
descredibilizar,1
descreve,1
descrever,3
descricao,181
descritas,1
descrito,2
descubra,4
desculpa,1
desculpar,1
desculpas,2
descumpri,1
descumpridas,1
descumprimento,2
desde,58
desdobramentos,3
desdobro,1
dese,1
deseja,17
desejam,4
desejamos,5
desejando,2
desejar,7
desejo,49
desejos,4
desembarcou,1
desembargador,2
desembarque,2
desempenha,1
desempenham,1
desempenhar,1
desempenho,3
desempenhou,1
desempregada,1
desempregado,1
desempregados,2
desemprego,14
desenhando,2
desenhos,1
desenrola,3
desenvolve,1
desenvolvemos,1
desenvolvendo,10
desenvolver,18
desenvolverem,1
desenvolvida,7
desenvolvidas,1
desenvolvidos,2
desenvolvimento,150
deserespeito,1
deserto,1
desesperada,1
desesperadas,1
desesperados,2
desesperar,1
desespero,20
desestabilizar,3
desfile,14
desfiles,1
desfruta,1
desfrutam,1
desfrutar,2
desgaste,2
desgoverno,2
designamos,1
desigual,13
desigualdade,47
desigualdades,19
desinformacao,4
desinformada,2
desistam,1
desiste,3
desistir,3
desistiu,1
desleal,2
deslizamentos,1
deslize,3
deslocamento,8
deslocamentos,1
deslocando,2
deslocar,3
desmando,1
desmandos,2
desmantelado,1
desmantelo,1
desmascarando,4
desmentido,1
desmentindo,1
desmerecer,1
desmerecido,1
desmoralizacao,1
desmoronar,1
desmotivados,1
desnorteado,1
desnutricao,3
desocupacao,1
desordenada,2
desorganizada,1
despede,3
despedimos,1
despedirse,1
despejo,1
despenca,1
despencou,1
despercebidos,1
desperdicados,1
desperdicando,1
desperdicar,2
desperdice,3
desperdicio,1
desperdicios,1
despertador,1
despertou,1
desportistas,4
desprendimento,1
despreparado,2
despreparo,13
despreza,1
desprezo,3
desproporcional,2
desrespeita,7
desrespeitado,1
desrespeitam,1
desrespeitar,3
desrespeito,26
desrespeitoso,1
desrespeitou,1
dessa,167
dessas,23
desse,139
desses,23
desta,60
destaca,6
destacados,1
destacamos,3
destacando,50
destacar,5
destacaram,1
destacou,4
destaque,21
destaquei,1
destaques,11
destas,3
deste,35
destemida,1
desterro,1
destes,4
destinadas,3
destinado,4
destinados,2
destinamos,5
destinando,2
destinar,3
destinei,4
destino,14
destinos,4
destinou,4
destrava,3
destravando,1
destrocos,1
destroi,2
destruicao,3
destruida,1
destruido,1
destruindo,1
destruir,3
desumana,2
desumanidade,3
desumanizados,1
desumano,4
desumanos,1
desvalorizam,1
desviados,1
desviar,5
desvio,7
desvios,1
desviou,1
desvirtua,1
desvirtuando,1
desvirtuar,1
detalha,1
detalhadas,1
detalhe,8
detalhes,13
detectado,1
detectados,1
detem,1
detentores,1
deteriorando,1
determina,1
determinacao,65
determinada,2
determinado,2
determinados,3
determinam,1
determinou,5
detrimento,1
deu,58
deus,201
devastado,1
deve,59
devem,8
devemos,5
devendo,1
dever,9
devera,1
deveres,1
deveria,19
deveriam,5
devese,1
devida,7
devidamente,2
devidas,1
devido,6
devo,4
devocao,5
devolve,1
devolvelas,1
devolvem,1
devolvemos,1
devolvendo,2
devolver,13
devolveu,1
devotos,1
dez,6
dezembro,3
dezenas,10
dezesseis,1
dezoito,2
di,1
dia,1630
diaaaa,1
diaaaaa,1
diaadia,3
diabetes,2
diagnocentro,1
diagnostico,21
diagnosticos,6
dialeto,1
dialogamos,5
dialogando,13
